question_id,surface,detected,render_as,declared_code_language,already_fenced,chars
QST-cfhm8d3qscwq,prompt,php|php-attribute,block,php,no,297
QST-5darxtca2dmf,choice:CHO-7855p5j581w2,php,inline,php,no,49
QST-5darxtca2dmf,choice:CHO-96v6pnrxhah9,php,inline,php,no,35
QST-5darxtca2dmf,choice_expl:CHO-96v6pnrxhah9,php,inline,php,no,157
QST-3v9qvehmpvj3,prompt,php,inline,,no,81
QST-7etwbjrngfd0,prompt,php,inline,,no,95
QST-9be1jmm121k3,prompt,php,inline,php,no,168
QST-rj0n6b7rxh74,choice:CHO-8pwnb8cj495p,php-attribute,inline,,no,48
QST-trxpf8mvw13a,choice:CHO-39at9r7kvd6z,php,inline,,no,44
QST-trxpf8mvw13a,choice:CHO-c02avamv34rv,php,inline,,no,46
QST-wd0d31jfm7vq,choice:CHO-nra02mkqvn0f,php,inline,php,no,51
QST-wd0d31jfm7vq,choice:CHO-zhbzpper1ckw,php,inline,php,no,36
QST-wd0d31jfm7vq,choice_expl:CHO-07h0r5t3j0rd,php,inline,php,no,53
QST-wd0d31jfm7vq,choice_expl:CHO-zhbzpper1ckw,php,inline,php,no,59
QST-wd0d31jfm7vq,explanation,php,inline,php,no,155
QST-wd0d31jfm7vq,prompt,php,inline,php,no,103
QST-kabex2vv2wme,choice:CHO-m6nyzzq4pxaf,php,inline,,no,29
QST-kabex2vv2wme,choice:CHO-v20fedxmse2x,php,inline,,no,51
QST-kabex2vv2wme,choice_expl:CHO-m6nyzzq4pxaf,php,inline,,no,88
QST-hdx34ew6s8ah,prompt,php,inline,php,no,93
QST-99hmydsyg0qy,choice:CHO-37q8nj6peby6,php,inline,php,no,18
QST-99hmydsyg0qy,choice:CHO-e95bxhpzgx60,php,inline,php,no,20
QST-99hmydsyg0qy,choice:CHO-gc50m3r51en9,php,inline,php,no,23
QST-99hmydsyg0qy,choice:CHO-xf2pn4ya26ws,php,inline,php,no,40
QST-b807cvrtscf6,prompt,php,inline,,no,137
QST-jhjytdhnzhew,prompt,php,inline,,no,197
QST-e36h79gzw9gn,prompt,php,inline,,no,125
QST-604t8tj8gx9c,explanation,php-attribute,inline,,no,357
QST-604t8tj8gx9c,prompt,php|php-attribute,inline,,no,216
QST-mhsb9ctp310m,choice:CHO-ckm71py38wh2,php,inline,,no,75
QST-mhsb9ctp310m,choice:CHO-e7mtmevm9ks0,php,inline,,no,125
QST-mhsb9ctp310m,choice:CHO-xysx9w1afwm6,php,inline,,no,59
QST-mhsb9ctp310m,choice_expl:CHO-ckm71py38wh2,php,inline,,no,77
