question_id,explanation_chars,distractors,distractors_with_explanation,distractors_missing,correct_choice_ids,answer_count_consistent,outcomes_linked,course_resolvable,classification
QST-z6te5yeyyzpj,136,3,3,,CHO-baa51j72wjef,yes,1,yes,READY_FOR_NEW_UI
QST-enxn0ad65n0w,151,2,2,,CHO-gb86ayf91w36|CHO-c6akh0wcm13r,yes,1,yes,READY_FOR_NEW_UI
QST-cfhm8d3qscwq,219,3,3,,CHO-9qgeyn3v01ns,yes,1,yes,CODE_BLOCK_REQUIRED
QST-5darxtca2dmf,109,3,3,,CHO-7855p5j581w2,yes,1,yes,CODE_INLINE_PRESENT
QST-3v9qvehmpvj3,169,2,2,,CHO-ckpp0jp9xm7a|CHO-swrhdbhmw4x3,yes,1,yes,CODE_INLINE_PRESENT
QST-g3y2dqj5820q,144,3,3,,CHO-8291q5m8f78j,yes,1,yes,READY_FOR_NEW_UI
QST-7etwbjrngfd0,207,2,2,,CHO-hy1mh0eqhysw|CHO-8ym0ht9fzkxj,yes,1,yes,CODE_INLINE_PRESENT
QST-9be1jmm121k3,145,3,3,,CHO-f84qyarv4a5d,yes,1,yes,CODE_INLINE_PRESENT
QST-rj0n6b7rxh74,167,3,3,,CHO-kb3ve5739w4b,yes,1,yes,CODE_INLINE_PRESENT
QST-trxpf8mvw13a,182,2,2,,CHO-sah6sb6bncet|CHO-39at9r7kvd6z,yes,1,yes,CODE_INLINE_PRESENT
QST-z4f4sxjhrhk1,138,3,3,,CHO-zwydyc9j4j6n,yes,1,yes,READY_FOR_NEW_UI
QST-wd0d31jfm7vq,155,3,3,,CHO-w51h7s9pv1sa,yes,1,yes,CODE_INLINE_PRESENT
QST-kabex2vv2wme,175,2,2,,CHO-nstq8rfjv0yy|CHO-3m4ry5v5rksc,yes,1,yes,CODE_INLINE_PRESENT
QST-e35gsy2e4vr3,149,3,3,,CHO-yw643dwcttfr,yes,1,yes,READY_FOR_NEW_UI
QST-hdx34ew6s8ah,139,3,3,,CHO-wpnw9td31enq,yes,1,yes,CODE_INLINE_PRESENT
QST-fhrga35d77wa,393,3,3,,CHO-85pq0rn2jf5q,yes,1,yes,READY_FOR_NEW_UI
QST-jg9dftsvh67e,79,3,3,,CHO-8pq3h2k2j0np,yes,1,yes,READY_FOR_NEW_UI
QST-gpz2ww98k670,166,2,2,,CHO-x5pdh9438tt8|CHO-9dx8n8bty7q1,yes,1,yes,READY_FOR_NEW_UI
QST-99hmydsyg0qy,113,3,3,,CHO-xf2pn4ya26ws,yes,1,yes,CODE_INLINE_PRESENT
QST-6bn09p657t3v,145,2,2,,CHO-y7rj7ks4kb5d|CHO-ezqc59scv9ky,yes,1,yes,READY_FOR_NEW_UI
QST-tc50z9v9egjv,171,3,3,,CHO-cacq185aangq,yes,1,yes,READY_FOR_NEW_UI
QST-b807cvrtscf6,155,3,3,,CHO-83mrv9pfqw5h,yes,1,yes,CODE_INLINE_PRESENT
QST-jhjytdhnzhew,151,3,3,,CHO-22x7snxkwkts,yes,1,yes,CODE_INLINE_PRESENT
QST-2hamhd680ksn,150,3,3,,CHO-x5rydwd7epsw,yes,1,yes,READY_FOR_NEW_UI
QST-e36h79gzw9gn,230,3,3,,CHO-dswb0bybfx64,yes,1,yes,CODE_INLINE_PRESENT
QST-604t8tj8gx9c,357,3,3,,CHO-8qjqqamd8js1,yes,1,yes,CODE_INLINE_PRESENT
QST-mhsb9ctp310m,323,3,3,,CHO-e7mtmevm9ks0,yes,1,yes,CODE_INLINE_PRESENT
QST-4rr5p2mvc7g5,320,3,3,,CHO-memdc5088x39,yes,1,yes,CODE_INLINE_PRESENT
QST-6t35fhgzx5x2,355,3,3,,CHO-r24mn6s8n09f,yes,1,yes,READY_FOR_NEW_UI
QST-f2m90kz2ya28,385,2,2,,CHO-d4njxpahwcy4|CHO-fhk8c7ntdd7e,yes,1,yes,READY_FOR_NEW_UI
QST-ktj89z3z3d5c,99,3,3,,CHO-1w4eatstphjk,yes,1,yes,READY_FOR_NEW_UI
QST-cxq2pvqpazts,131,3,3,,CHO-34se1p0kj0nt,yes,2,yes,CODE_INLINE_PRESENT
