question_id,file,lot,official_topic,official_item_id,official_item,difficulty,answer_mode,required_answer_count,correct_choices,choices,cognitive_level,exam_skill,archetype,code_language,estimated_time_seconds,assesses_outcomes,course_refs,course_url,sources,classification
QST-z6te5yeyyzpj,golden-slice.yml,lot-02,HTTP,OIT-512se83ab7qj,Status codes,easy,single,1,1,4,APPLY,DISTINGUISH,SCENARIO_CHOICE,,45,OUT-8yd42b69nxnx,CRS-984c2bv3wh09,/docs/courses/lot-02/status-codes,1,READY_FOR_NEW_UI
QST-enxn0ad65n0w,golden-slice.yml,lot-02,HTTP,OIT-512se83ab7qj,Status codes,medium,multiple,2,2,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,60,OUT-6sg999w56sxb,CRS-984c2bv3wh09,/docs/courses/lot-02/status-codes,1,READY_FOR_NEW_UI
QST-cfhm8d3qscwq,golden-slice.yml,lot-05,Routing,OIT-egy2wn3z7gb7,Configuration (YAML and PHP attributes),medium,single,1,1,4,APPLY,DIAGNOSE,CODE_DIAGNOSIS,php,75,OUT-tkq7ea4zgfd1,CRS-kqq96z5y9r2f,/docs/courses/lot-05/configuration-yaml-and-php-attributes,1,CODE_BLOCK_REQUIRED
QST-5darxtca2dmf,golden-slice.yml,lot-10,Security,OIT-s3jh7wg5km19,"Authenticators, Passports and Badges",hard,single,1,1,4,APPLY,DIAGNOSE,CODE_DIAGNOSIS,php,70,OUT-a4y23xrqfy6h,CRS-6gc45etcssfb,/docs/courses/lot-10/authenticators-passports-and-badges,1,CODE_INLINE_PRESENT
QST-3v9qvehmpvj3,golden-slice.yml,lot-10,Security,OIT-s3jh7wg5km19,"Authenticators, Passports and Badges",hard,multiple,2,2,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,80,OUT-pg8zhgwny9pq,CRS-6gc45etcssfb,/docs/courses/lot-10/authenticators-passports-and-badges,1,CODE_INLINE_PRESENT
QST-g3y2dqj5820q,lot-01-php.yml,lot-01,PHP,OIT-46ry8d7dypmb,PHP API up to PHP 8.4 version,medium,single,1,1,4,KNOW,RECOGNIZE,VERSION_ATTRIBUTION,,45,OUT-svjaxs75amyd,CRS-722pscs6e2m0,/docs/courses/lot-01/php-api-up-to-php-8-4-version,1,READY_FOR_NEW_UI
QST-7etwbjrngfd0,lot-01-php.yml,lot-01,PHP,OIT-46ry8d7dypmb,PHP API up to PHP 8.4 version,hard,multiple,2,2,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,75,OUT-fr1x4bcak73j,CRS-722pscs6e2m0,/docs/courses/lot-01/php-api-up-to-php-8-4-version,1,CODE_INLINE_PRESENT
QST-9be1jmm121k3,lot-01-php.yml,lot-01,PHP,OIT-ywrx9x3hg9z8,Object Oriented Programming,medium,single,1,1,4,APPLY,DIAGNOSE,CODE_OUTPUT,php,70,OUT-zqwbp11av4pr,CRS-3424z948caan,/docs/courses/lot-01/object-oriented-programming,1,CODE_INLINE_PRESENT
QST-rj0n6b7rxh74,lot-01-php.yml,lot-01,PHP,OIT-1kjqdnryaw0h,Attributes,medium,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,70,OUT-s8tzdy31hq6k,CRS-tqcp2kn9r3b5,/docs/courses/lot-01/attributes,1,CODE_INLINE_PRESENT
QST-trxpf8mvw13a,lot-01-php.yml,lot-01,PHP,OIT-1kjqdnryaw0h,Attributes,medium,multiple,2,2,4,KNOW,RECOGNIZE,API_SIGNATURE,,60,OUT-xnmzqxrwf753,CRS-tqcp2kn9r3b5,/docs/courses/lot-01/attributes,1,CODE_INLINE_PRESENT
QST-z4f4sxjhrhk1,lot-01-php.yml,lot-01,PHP,OIT-vt0p9cacpkpd,Interfaces,easy,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,,45,OUT-6tzwvmfwj408,CRS-e4y7gtn5k4f0,/docs/courses/lot-01/interfaces,1,READY_FOR_NEW_UI
QST-wd0d31jfm7vq,lot-01-php.yml,lot-01,PHP,OIT-fhb3vz7xbt5h,Anonymous functions and closures,medium,single,1,1,4,APPLY,DIAGNOSE,CODE_OUTPUT,php,65,OUT-2y15r5yjgcdv,CRS-e7m4xbcxegyc,/docs/courses/lot-01/anonymous-functions-and-closures,1,CODE_INLINE_PRESENT
QST-kabex2vv2wme,lot-01-php.yml,lot-01,PHP,OIT-fhb3vz7xbt5h,Anonymous functions and closures,hard,multiple,2,2,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,75,OUT-kspe7vnxkqe2,CRS-e7m4xbcxegyc,/docs/courses/lot-01/anonymous-functions-and-closures,1,CODE_INLINE_PRESENT
QST-e35gsy2e4vr3,lot-01-php.yml,lot-01,PHP,OIT-webdvbgbrfth,Abstract classes,medium,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,php,55,OUT-fs6z2g5dv4qq,CRS-0jtjh77tabt1,/docs/courses/lot-01/abstract-classes,1,READY_FOR_NEW_UI
QST-hdx34ew6s8ah,lot-01-php.yml,lot-01,PHP,OIT-bvnvx2b6yt2y,Exception and error handling,medium,single,1,1,4,APPLY,DIAGNOSE,CODE_DIAGNOSIS,php,60,OUT-xwdtmfm9hzsc,CRS-yc9fry0vz4gh,/docs/courses/lot-01/exception-and-error-handling,2,CODE_INLINE_PRESENT
QST-fhrga35d77wa,lot-01-php.yml,lot-01,PHP,OIT-bvnvx2b6yt2y,Exception and error handling,hard,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,60,OUT-km64zadyg6pf,CRS-yc9fry0vz4gh,/docs/courses/lot-01/exception-and-error-handling,2,READY_FOR_NEW_UI
QST-jg9dftsvh67e,lot-01-php.yml,lot-01,PHP,OIT-n0zfkcr189af,Traits,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_PREDICTION,,70,OUT-xk68jha9m4nk,CRS-bshgpd44ykba,/docs/courses/lot-01/traits,1,READY_FOR_NEW_UI
QST-gpz2ww98k670,lot-01-php.yml,lot-01,PHP,OIT-n0zfkcr189af,Traits,hard,multiple,2,2,4,UNDERSTAND,DISTINGUISH,DEFINITION_RECALL,,80,OUT-w9w3hpwesby1,CRS-bshgpd44ykba,/docs/courses/lot-01/traits,1,READY_FOR_NEW_UI
