topic,item,derived,parent,repo_id,lot,level,course_refs,flashcard_refs,question_refs,questions_owned,coverage,version,finding
PHP,PHP API up to PHP 8.4 version,False,,OIT-46ry8d7dypmb,lot-01,STANDARD,CRS-722pscs6e2m0,FLC-ef5rh3zk8shg,QST-g3y2dqj5820q;QST-7etwbjrngfd0,3,FULL,Symfony 8.0,
PHP,Object Oriented Programming,False,,OIT-ywrx9x3hg9z8,lot-01,STANDARD,CRS-3424z948caan,FLC-xcnrvq0mddck,QST-9be1jmm121k3;QST-ytndnvdgvahh,3,FULL,Symfony 8.0,
PHP,Attributes,False,,OIT-1kjqdnryaw0h,lot-01,STANDARD,CRS-tqcp2kn9r3b5,FLC-6rbhadxrw3sh,QST-rj0n6b7rxh74;QST-trxpf8mvw13a,3,FULL,Symfony 8.0,
PHP,Interfaces,False,,OIT-vt0p9cacpkpd,lot-01,MINIMAL,CRS-e4y7gtn5k4f0,,QST-z4f4sxjhrhk1;QST-9r75z716zt0h,2,FULL,Symfony 8.0,
PHP,Anonymous functions and closures,False,,OIT-fhb3vz7xbt5h,lot-01,STANDARD,CRS-e7m4xbcxegyc,FLC-ypkjgzcsjn5v,QST-wd0d31jfm7vq;QST-kabex2vv2wme,3,FULL,Symfony 8.0,
PHP,Abstract classes,False,,OIT-webdvbgbrfth,lot-01,STANDARD,CRS-0jtjh77tabt1,,QST-e35gsy2e4vr3;QST-jhbpm176qdkc,3,FULL,Symfony 8.0,
PHP,Exception and error handling,False,,OIT-bvnvx2b6yt2y,lot-01,STANDARD,CRS-yc9fry0vz4gh,FLC-8xtkgssqtqmg,QST-hdx34ew6s8ah;QST-fhrga35d77wa,4,FULL,Symfony 8.0,
PHP,Traits,False,,OIT-n0zfkcr189af,lot-01,STANDARD,CRS-bshgpd44ykba,FLC-nt75xsr5ygw0,QST-jg9dftsvh67e;QST-gpz2ww98k670,4,FULL,Symfony 8.0,
PHP,Enums,False,,OIT-hqz5c2qse24w,lot-01,STANDARD,CRS-3sggmeyd01x6,FLC-h8jcxsh0da3t,QST-99hmydsyg0qy;QST-6bn09p657t3v,3,FULL,Symfony 8.0,
HTTP,HTTP Specification (RFC 9110),False,,OIT-7801mj6w73ky,lot-02,MINIMAL,CRS-depbnbc0g82x,,QST-ktj89z3z3d5c;QST-tdqxjjpwv51c,2,FULL,Symfony 8.0,
HTTP,Status codes,False,,OIT-512se83ab7qj,lot-02,MINIMAL,CRS-984c2bv3wh09,FLC-bhhj8tz5bqg3;FLC-bwn83abnd4vh,QST-z6te5yeyyzpj;QST-enxn0ad65n0w,2,FULL,Symfony 8.0,
HTTP,HTTP request,False,,OIT-d3nyk9z0q2pd,lot-02,STANDARD,CRS-222wq64mqxye,FLC-ke52b2c0c9vm,QST-cxq2pvqpazts;QST-0yt0wew1kzge,4,FULL,Symfony 8.0,
HTTP,HTTP response,False,,OIT-jh06tkfrhthq,lot-02,STANDARD,CRS-hdsq2qdz7qdv,FLC-c3jxj5v9jt5n,QST-8twgxeyvsp73;QST-1x99cch6bwr6,3,FULL,Symfony 8.0,
HTTP,HTTP methods,False,,OIT-qnm508g1ktqm,lot-02,STANDARD,CRS-erfvgqsx1z2p,FLC-fwh5svxege2c,QST-xbkvhs464f4r;QST-0va8e7fh5szw,3,FULL,Symfony 8.0,
HTTP,Cookies,False,,OIT-bz1f5nh8g9b2,lot-02,STANDARD,CRS-7fa2behkxmf9,FLC-m9c0rxyaz2dj,QST-kc7stf86x9jh;QST-hmpny1fkf8mv,3,FULL,Symfony 8.0,
HTTP,Caching,False,,OIT-tc39jp8japfc,lot-02,STANDARD,CRS-e3j0d3a8ndrf,FLC-17ebjqxfdy6d,QST-1jpkm1x11jb8;QST-2gvnfhbwzpaa,4,FULL,Symfony 8.0,
HTTP,Content negotiation,False,,OIT-mrvrtxm4v2m5,lot-02,STANDARD,CRS-dab7evz3fe29,,QST-r4sq1djrd7pj;QST-9avmc0skt5w1,3,FULL,Symfony 8.0,
HTTP,Language detection,False,,OIT-fhjmv9w3wxsb,lot-02,MINIMAL,CRS-qa0x33akw264,,QST-g3sw71qz8dnq;QST-whsz8qfwgcby,2,FULL,Symfony 8.0,
HTTP,Symfony HttpClient component,False,,OIT-9kh5cqz5qtrb,lot-02,STANDARD,CRS-ez2qmqfk902e,FLC-7cnykd5c7nxy,QST-hnjpg1kv733t;QST-r6wwzwfx7mqc,3,FULL,Symfony 8.0,
Symfony Architecture,HttpFoundation component,False,,OIT-y0ah7pq9c4hv,lot-03,MINIMAL,CRS-epx8j3fhb38n,,QST-cs5czk986ceh;QST-811tsrpkggk6,2,FULL,Symfony 8.0,
Symfony Architecture,Symfony Flex,False,,OIT-132nwnh9c6bc,lot-03,STANDARD,CRS-tyf3yfxjc3sa,,QST-eprt4675bxt3;QST-fdw0fry94aqb,3,FULL,Symfony 8.0,
Symfony Architecture,License,False,,OIT-347k8phdewem,lot-03,MINIMAL,CRS-y84syktt20ww,,QST-2phg00bdwb17;QST-wc38szf5asj9,2,FULL,Symfony 8.0,
Symfony Architecture,Components and Bridges,False,,OIT-d416348gfhde,lot-03,STANDARD,CRS-1bxqx6ks853z,,QST-2wczm0rxvsj1;QST-930jj2sxej0j,3,FULL,Symfony 8.0,
Symfony Architecture,Code organization,False,,OIT-p3p7te94qc1n,lot-03,STANDARD,CRS-156khyjssm25,,QST-anhjdyw3sw5z;QST-ys2pndyx4es9,3,FULL,Symfony 8.0,
Symfony Architecture,Request handling,False,,OIT-7sewqvmw6468,lot-03,DEEP,CRS-mpwjc4g3vmj7,FLC-jjsdae8j3b56;FLC-62g2dayy67zs,QST-7b5q7zedg43v;QST-ewzwmzm44g5g,4,FULL,Symfony 8.0,
Symfony Architecture,Exception handling,False,,OIT-xc4zfr70jjas,lot-03,STANDARD,CRS-kd67y4vnd0mm,FLC-79nmwswd5a50,QST-0rxv1000z941;QST-2mew7wbq7j4s,3,FULL,Symfony 8.0,
Symfony Architecture,Event dispatcher and kernel events,False,,OIT-rd9b27fkb72r,lot-03,DEEP,CRS-2hpcy2rscq7m,FLC-4hjvn6s53v7y,QST-y51441y0byrz;QST-chxqtjssb1tr,3,FULL,Symfony 8.0,
Symfony Architecture,Official best practices,False,,OIT-hzbednd04fd4,lot-03,STANDARD,CRS-k2xvr11x936e,,QST-7gk1cdmy0rxh;QST-nz6jxdj32j14,3,FULL,Symfony 8.0,
Symfony Architecture,Backward compatibility promise,False,,OIT-vk57zg2wpep7,lot-03,STANDARD,CRS-21ec5kwrcmkm,FLC-rzxtm8jvz6k3;FLC-tbf0byhf3qkz,QST-z8vj7aat8jkk;QST-daw9r7qrsmpc,4,FULL,Symfony 8.0,
Symfony Architecture,Deprecations best practices,False,,OIT-ehf5zdnmdb1j,lot-03,STANDARD,CRS-rkq1d437dw5d,FLC-9m8p1pfmbs1b,QST-qyf1tg8cm0w6;QST-0cakcdv6cmbb,3,FULL,Symfony 8.0,
Symfony Architecture,Framework overloading,False,,OIT-efzq92vdtayj,lot-03,STANDARD,CRS-f9s8mpaydnbx,,QST-afrgkknny4fv;QST-xms6c8xjd03a,3,FULL,Symfony 8.0,
Symfony Architecture,Release management and roadmap schedule,False,,OIT-pk5s7cnhk776,lot-03,STANDARD,CRS-6m32av3nr9eh,FLC-9m38p016nbap;FLC-p6z5q1gh8any,QST-bjgx2g2df63b;QST-c4e421nb4abj,3,FULL,Symfony 8.0,
Symfony Architecture,Framework interoperability and PSRs,False,,OIT-kcj9a5846b1s,lot-03,STANDARD,CRS-f74jcpnrrkhz,,QST-snvr37zq14z9;QST-0djgsnp61392,3,FULL,Symfony 8.0,
Symfony Architecture,Naming conventions,False,,OIT-c9pjp03cv4bq,lot-03,MINIMAL,CRS-9g4qrgfs7nm4,FLC-00w816qz6wh8,QST-0r834aw9wqn9;QST-ph0fe1zhzeya,2,FULL,Symfony 8.0,
Controllers,HttpKernel component and FrameworkBundle,False,,OIT-qr7gnht5s847,lot-04,STANDARD,CRS-tygmreqkkds3,,QST-1rm2gsd2rpg3;QST-kd99n7e6g9ka,3,FULL,Symfony 8.0,
Controllers,Naming conventions,False,,OIT-ycc2c8tnv68h,lot-04,MINIMAL,CRS-9fz4erg0wmbq,,QST-j3r9v4jqw00n;QST-kyp8v8zrb8r3,2,FULL,Symfony 8.0,
Controllers,The base AbstractController class,False,,OIT-gqpj4rbt0hc7,lot-04,STANDARD,CRS-h8s87edcx8ae,,QST-dnxpede76ew1;QST-2vj8n6hfss62,4,FULL,Symfony 8.0,
Controllers,The request,False,,OIT-6cr9b8ea8g32,lot-04,MINIMAL,CRS-ea3twt9jcan2,,QST-da21bxhgtjcr;QST-ahd7kee2rcdn,2,FULL,Symfony 8.0,
Controllers,The response,False,,OIT-2emwghgkkrdy,lot-04,STANDARD,CRS-a669jpap5zf2,FLC-50qy4aqc9d2a,QST-qbvmn4ak00xe;QST-f1y8ffw897x7,3,FULL,Symfony 8.0,
Controllers,The cookies,False,,OIT-pfrzrr0qcmh3,lot-04,MINIMAL,CRS-thmkagkjcvh3,,QST-11nk5754rpdh;QST-trtmk0t0xknv,2,FULL,Symfony 8.0,
Controllers,The session,False,,OIT-e41m74xaqhy7,lot-04,STANDARD,CRS-a51fqgqynr2d,FLC-5j16211q845x;FLC-zm3kmyhm6szz,QST-b5rsrffwd1ja;QST-mgyhknb5qevq,3,FULL,Symfony 8.0,
Controllers,The flash messages,False,,OIT-65bev6t7wbna,lot-04,MINIMAL,CRS-ak7sdgcdjb7e,FLC-gdkt0hht9dce,QST-hw8ee6r7vmgd;QST-ts94r3a8c3f0,2,FULL,Symfony 8.0,
Controllers,HTTP redirects,False,,OIT-bwfqarnn6s2f,lot-04,MINIMAL,CRS-7zy5ndjgnpk1,FLC-dkb30nnrfmqs,QST-rh33zfabnd6v;QST-w5n16306gg5v,2,FULL,Symfony 8.0,
Controllers,Internal redirects,False,,OIT-znm2tr61aw9p,lot-04,STANDARD,CRS-fd24qxy0x1s6,FLC-zmzjmptaw0gd,QST-8gc5zq1h2p98;QST-jm00zq4z9sez,4,FULL,Symfony 8.0,
Controllers,Generate 404 pages,False,,OIT-emymfwgesh99,lot-04,STANDARD,CRS-p57qsnnfpd2a,FLC-b3yz3wtpa5xx,QST-5kn8tfb5k3s3;QST-z3r0at4fmp23,3,FULL,Symfony 8.0,
Controllers,File upload,False,,OIT-tb3bnd6b0f01,lot-04,STANDARD,CRS-5pns7nw7612s,FLC-76q0tk8w87yb,QST-cztz9ndc5pc0;QST-myjwe916hpfp,3,FULL,Symfony 8.0,
Controllers,Built-in internal controllers,False,,OIT-e93sa9rd4kd9,lot-04,STANDARD,CRS-zmg0wrxvqqdq,FLC-wvcgqvv01k3x,QST-1kdkyp9r94d1;QST-df9adrfdyn46,3,FULL,Symfony 8.0,
Controllers,Argument value resolvers,False,,OIT-8hs6e05vq91g,lot-04,DEEP,CRS-d5ffd8b704zs,FLC-s0173seh75yz,QST-a8y5n999x97w;QST-wqmsve0rpm50;QST-9rwkjyzgr7hg,4,FULL,Symfony 8.0,
Routing,Routing component and FrameworkBundle,False,,OIT-ceaw3ewfsw85,lot-05,STANDARD,CRS-2nwv1v57j7ef,,QST-am0fchhs6cs8;QST-sy8yv5y6kfbe,3,FULL,Symfony 8.0,
Routing,Configuration (YAML and PHP attributes),False,,OIT-egy2wn3z7gb7,lot-05,STANDARD,CRS-kqq96z5y9r2f,FLC-t45m07frz2sv,QST-cfhm8d3qscwq;QST-psqn0fe95khc,3,FULL,Symfony 8.0,
Routing,Restrict URL parameters,False,,OIT-1cj08dhtp9hj,lot-05,STANDARD,CRS-wg3j0t5pm7w1,FLC-s7es8e4pq9vf,QST-e4m2fqttjv3f;QST-nzk49a60g2w7,4,FULL,Symfony 8.0,
Routing,Set default values to URL parameters,False,,OIT-ff0kghjbzvpm,lot-05,STANDARD,CRS-vkgr06y3x72g,FLC-x8ga0twzt6g1;FLC-5j4yp6wp9yzk,QST-8batm9anrn18;QST-8ga6z9sfbv40,3,FULL,Symfony 8.0,
Routing,URLs generation,False,,OIT-81b2c0jmv2j3,lot-05,STANDARD,CRS-sx61as7r7p0d,,QST-8k29tz9vy6mt;QST-0y1zbrpb67fw,4,FULL,Symfony 8.0,
Routing,Trigger redirects,False,,OIT-d51jbkfs21pt,lot-05,STANDARD,CRS-tgbv3wp66rcc,FLC-qtcf6sp62jpq,QST-d0mf49sax6yj;QST-np471a1fkmv6,3,FULL,Symfony 8.0,
Routing,Special internal routing attributes,False,,OIT-4pgc74ctc3vc,lot-05,STANDARD,CRS-nhebf7arqvn4,,QST-af1e821vzx6r;QST-m5x0wprr2kvf,3,FULL,Symfony 8.0,
Routing,Domain name matching,False,,OIT-21m4pmtymygn,lot-05,MINIMAL,CRS-2b1wzm3rwdrn,,QST-c8g1bj0n5dqs;QST-qq1rr2xpmn82,2,FULL,Symfony 8.0,
Routing,Conditional request matching,False,,OIT-e2zrm9qkpx7j,lot-05,STANDARD,CRS-f92d09x14ggx,FLC-hyrr6qtdkfh9,QST-wackwv87118n;QST-zre5tj917bfe,3,FULL,Symfony 8.0,
Routing,HTTP methods matching,False,,OIT-5g82spham3vm,lot-05,MINIMAL,CRS-h3q0qxnq8eq0,FLC-v2wg754jbxy7,QST-n9mqsvxnxvsz;QST-xadb43t30n4e,2,FULL,Symfony 8.0,
Routing,User's locale guessing,False,,OIT-xxcpx1qssp93,lot-05,STANDARD,CRS-evzcj63fgdb7,FLC-hdwv8cdrrdwb,QST-e5r36kab4gdn;QST-sx1wkkf00607,3,FULL,Symfony 8.0,
Routing,Router debugging,False,,OIT-8sr74a2wnb3r,lot-05,MINIMAL,CRS-8dgxs89hrah0,,QST-2m6tem2jg4d4;QST-d3z5234k4p9k,2,FULL,Symfony 8.0,
Templating with Twig,TwigBundle,False,,OIT-b9x8az2bx4t8,lot-06,STANDARD,CRS-2bj91rj9kvj0,,QST-nqeq65rj5m97;QST-k1qgrrevaw40,3,FULL,Symfony 8.0,
Templating with Twig,Twig syntax up to 3.22 version,False,,OIT-vhd83fn6w9wy,lot-06,DEEP,CRS-x2f8reencvcs,FLC-2e8x0yx9hbbp;FLC-zv7yngs0n7zm,QST-2xamk5ahfyyn;QST-fendqkqnnjqj;QST-1s9t39gm4yfj,5,FULL,Symfony 8.0,
Templating with Twig,Auto escaping,False,,OIT-ns36thqnh2jk,lot-06,STANDARD,CRS-w82wtddwhexg,FLC-a64hqxfhfzpc,QST-mr5y3tea9rgw;QST-hqqnvh8n266m,4,FULL,Symfony 8.0,
Templating with Twig,Template inheritance,False,,OIT-g3p8wdtww344,lot-06,STANDARD,CRS-k3v3wrt0hmtx,FLC-mype643dt889,QST-f9dbbk5scdxt;QST-81q6m585fqxs,3,FULL,Symfony 8.0,
Templating with Twig,Global variables,False,,OIT-dp7w7s85wxjg,lot-06,STANDARD,CRS-r56yzzb4pye2,,QST-m6pb3s1ek4qg;QST-m49e8kfejtww,3,FULL,Symfony 8.0,
